dataset,seed,alpha,nominal_accepted_fraction,accepted_fraction,flagged_fraction,all_error,accepted_error,flagged_error,threshold
Digits,8.0,0.1,0.9,0.9272727272727272,0.07272727272727272,0.0,0.0,0.0,0.7277836692470967
Digits,9.0,0.1,0.9,0.8909090909090909,0.10909090909090909,0.00909090909090909,0.0,0.08333333333333333,0.7665747011950689
Digits,10.0,0.1,0.9,0.9454545454545454,0.05454545454545454,0.01818181818181818,0.0,0.3333333333333333,0.7443685742007624
Digits,11.0,0.1,0.9,0.9090909090909091,0.09090909090909091,0.00909090909090909,0.0,0.1,0.6915800856827
Digits,12.0,0.1,0.9,0.8545454545454545,0.14545454545454545,0.0,0.0,0.0,0.7013104722747463
Digits,13.0,0.1,0.9,0.9090909090909091,0.09090909090909091,0.02727272727272727,0.0,0.3,0.7316056834236513
Digits,14.0,0.1,0.9,0.9090909090909091,0.09090909090909091,0.00909090909090909,0.0,0.1,0.7318073412009741
Digits,15.0,0.1,0.9,0.9454545454545454,0.05454545454545454,0.00909090909090909,0.009615384615384616,0.0,0.7636536953727189
Digits,16.0,0.1,0.9,0.9181818181818182,0.08181818181818182,0.0,0.0,0.0,0.7623526841280159
Digits,17.0,0.1,0.9,0.8818181818181818,0.11818181818181818,0.00909090909090909,0.0,0.07692307692307693,0.722758408125547
Digits,18.0,0.1,0.9,0.9181818181818182,0.08181818181818182,0.0,0.0,0.0,0.697348726936674
Digits,19.0,0.1,0.9,0.8909090909090909,0.10909090909090909,0.0,0.0,0.0,0.6803818892840051
Digits,20.0,0.1,0.9,0.9454545454545454,0.05454545454545454,0.00909090909090909,0.0,0.16666666666666666,0.7134904273315011
Digits,21.0,0.1,0.9,0.9,0.1,0.0,0.0,0.0,0.7787396338112496
Digits,22.0,0.1,0.9,0.9090909090909091,0.09090909090909091,0.01818181818181818,0.0,0.2,0.7522088402369288
Digits,23.0,0.1,0.9,0.9272727272727272,0.07272727272727272,0.00909090909090909,0.0,0.125,0.740248521722963
Digits,24.0,0.1,0.9,0.9454545454545454,0.05454545454545454,0.0,0.0,0.0,0.7346144598434681
Digits,25.0,0.1,0.9,0.9,0.1,0.00909090909090909,0.0,0.09090909090909091,0.7476501238544376
Digits,26.0,0.1,0.9,0.8818181818181818,0.11818181818181818,0.00909090909090909,0.0,0.07692307692307693,0.6775505126773289
Digits,27.0,0.1,0.9,0.9363636363636364,0.06363636363636363,0.00909090909090909,0.0,0.14285714285714285,0.776934146107138
Digits,28.0,0.1,0.9,0.8909090909090909,0.10909090909090909,0.00909090909090909,0.0,0.08333333333333333,0.6943832518922288
Digits,29.0,0.1,0.9,0.8909090909090909,0.10909090909090909,0.0,0.0,0.0,0.6724137412219607
Digits,30.0,0.1,0.9,0.9454545454545454,0.05454545454545454,0.00909090909090909,0.0,0.16666666666666666,0.7444081739368017
Digits,31.0,0.1,0.9,0.9181818181818182,0.08181818181818182,0.01818181818181818,0.0,0.2222222222222222,0.740555205299363
Digits,32.0,0.1,0.9,0.9363636363636364,0.06363636363636363,0.0,0.0,0.0,0.7307283997345314
Digits,33.0,0.1,0.9,0.9545454545454546,0.045454545454545456,0.00909090909090909,0.0,0.2,0.7784916687880392
Digits,34.0,0.1,0.9,0.9545454545454546,0.045454545454545456,0.0,0.0,0.0,0.7666199250088312
Digits,35.0,0.1,0.9,0.9545454545454546,0.045454545454545456,0.01818181818181818,0.0,0.4,0.7688467553020935
Digits,36.0,0.1,0.9,0.9,0.1,0.0,0.0,0.0,0.696647421035139
Digits,37.0,0.1,0.9,0.9272727272727272,0.07272727272727272,0.00909090909090909,0.0,0.125,0.7750880566757244
Digits,38.0,0.1,0.9,0.9272727272727272,0.07272727272727272,0.00909090909090909,0.0,0.125,0.7644669997784269
Digits,39.0,0.1,0.9,0.9090909090909091,0.09090909090909091,0.00909090909090909,0.0,0.1,0.6954441192905296
Digits,40.0,0.1,0.9,0.8909090909090909,0.10909090909090909,0.00909090909090909,0.0,0.08333333333333333,0.6934948626689369
Digits,41.0,0.1,0.9,0.9363636363636364,0.06363636363636363,0.0,0.0,0.0,0.6965958540929541
Digits,42.0,0.1,0.9,0.8363636363636363,0.16363636363636364,0.02727272727272727,0.0,0.16666666666666666,0.6459107053331987
Digits,43.0,0.1,0.9,0.9272727272727272,0.07272727272727272,0.00909090909090909,0.0,0.125,0.7438830973016154
Digits,44.0,0.1,0.9,0.9727272727272728,0.02727272727272727,0.0,0.0,0.0,0.8053429416681329
Digits,45.0,0.1,0.9,0.8909090909090909,0.10909090909090909,0.0,0.0,0.0,0.7036453226264641
Digits,46.0,0.1,0.9,0.9181818181818182,0.08181818181818182,0.00909090909090909,0.0,0.1111111111111111,0.7567292461817716
Digits,47.0,0.1,0.9,0.8636363636363636,0.13636363636363635,0.00909090909090909,0.0,0.06666666666666667,0.6790227567685321
Digits,48.0,0.1,0.9,0.9636363636363636,0.03636363636363636,0.00909090909090909,0.0,0.25,0.7725884679258128
Digits,49.0,0.1,0.9,0.8454545454545455,0.15454545454545454,0.00909090909090909,0.0,0.058823529411764705,0.6872358749901186
